Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,n,k,kinetics,reference,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class,log10_k
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1200,50,1.8,55.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,60000,1,1.7403626894942439
19.05,0.0,19.05,0.0,0.0,23.81,19.05,9.52,0.0,9.52,0.0,1894.01696,0.0698012277238854,1200,100,1.8,55.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (AlMoNbTaTiZr variant)",19.05,23.81,0.0,120000,1,1.7403626894942439
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1000,1,2.0,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,1000,1,1.3424226808222062
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1000,50,2.0,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,50000,1,1.3424226808222062
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1000,100,2.0,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,100000,1,1.3424226808222062
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1100,1,2.0,35.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,1100,1,1.5440680443502757
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1100,50,2.0,35.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,55000,1,1.5440680443502757
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1100,100,2.0,35.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,110000,1,1.5440680443502757
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1200,1,1.6,65.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,1200,1,1.8129133566428555
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1200,25,1.6,65.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,30000,1,1.8129133566428555
0.0,0.0,19.05,0.0,19.05,23.81,19.05,9.52,0.0,9.52,0.0,2131.5095,0.0395528609911998,1200,50,1.6,65.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (CrMoNbTaTiZr variant)",19.05,23.81,0.0,60000,1,1.8129133566428555
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,600,1,2.0,1.3,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,600,1,0.11394335230683679
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,600,50,2.0,1.3,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,30000,1,0.11394335230683679
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,600,100,2.0,1.3,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,60000,1,0.11394335230683679
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,700,1,2.0,5.6,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,700,1,0.7481880270062004
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,700,50,2.0,5.6,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,35000,1,0.7481880270062004
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,700,100,2.0,5.6,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,70000,1,0.7481880270062004
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,800,1,2.0,8.8,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,800,1,0.9444826721501687
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,800,50,2.0,8.8,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,40000,1,0.9444826721501687
25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1665.08,0.0766394162641096,800,100,2.0,8.8,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (AlTiZrNb oxidation data)",25.0,25.0,0.0,80000,1,0.9444826721501687
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1000,1,2.0,25.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,1000,1,1.3979400086720377
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1000,25,2.0,25.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,25000,1,1.3979400086720377
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1000,50,2.0,25.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,50000,1,1.3979400086720377
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1100,1,1.8,48.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,1100,1,1.6812412373755872
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1100,25,1.8,48.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,27500,1,1.6812412373755872
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1100,50,1.8,48.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,55000,1,1.6812412373755872
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1300,1,1.7,95.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,1300,1,1.9777236052888478
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1300,12,1.7,95.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,15600,1,1.9777236052888478
20.0,0.0,30.0,0.0,0.0,10.0,30.0,0.0,0.0,10.0,0.0,1862.764,0.062556568794473,1300,24,1.7,95.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Al20Ti30Zr10Nb30Ta10)",20.0,10.0,0.0,31200,1,1.9777236052888478
9.09,0.0,18.18,0.0,0.0,18.18,18.18,0.0,18.18,18.18,0.0,2105.273088,0.0599263946684309,700,1,1.5,14.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al9TiZrNbHfTa variant)",9.09,18.18,0.0,700,1,1.146128035678238
9.09,0.0,18.18,0.0,0.0,18.18,18.18,0.0,18.18,18.18,0.0,2105.273088,0.0599263946684309,700,24,1.5,14.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al9TiZrNbHfTa variant)",9.09,18.18,0.0,16800,1,1.146128035678238
9.09,0.0,18.18,0.0,0.0,18.18,18.18,0.0,18.18,18.18,0.0,2105.273088,0.0599263946684309,700,48,1.5,14.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al9TiZrNbHfTa variant)",9.09,18.18,0.0,33600,1,1.146128035678238
13.04,0.0,17.39,0.0,0.0,17.39,17.39,0.0,17.39,17.39,0.0,2042.480728,0.0658991917424672,700,1,1.8,11.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al13TiZrNbHfTa variant)",13.04,17.39,0.0,700,1,1.0413926851582251
13.04,0.0,17.39,0.0,0.0,17.39,17.39,0.0,17.39,17.39,0.0,2042.480728,0.0658991917424672,700,24,1.8,11.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al13TiZrNbHfTa variant)",13.04,17.39,0.0,16800,1,1.0413926851582251
13.04,0.0,17.39,0.0,0.0,17.39,17.39,0.0,17.39,17.39,0.0,2042.480728,0.0658991917424672,700,48,1.8,11.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al13TiZrNbHfTa variant)",13.04,17.39,0.0,33600,1,1.0413926851582251
16.67,0.0,16.67,0.0,0.0,16.67,16.67,0.0,16.67,16.67,0.0,1985.450344,0.0705513536174724,700,1,2.0,10.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al16.67TiZrNbHfTa variant)",16.67,16.67,0.0,700,1,1.0
16.67,0.0,16.67,0.0,0.0,16.67,16.67,0.0,16.67,16.67,0.0,1985.450344,0.0705513536174724,700,24,2.0,10.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al16.67TiZrNbHfTa variant)",16.67,16.67,0.0,16800,1,1.0
16.67,0.0,16.67,0.0,0.0,16.67,16.67,0.0,16.67,16.67,0.0,1985.450344,0.0705513536174724,700,48,2.0,10.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table/Fig. (Al16.67TiZrNbHfTa variant)",16.67,16.67,0.0,33600,1,1.0
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1100,1,2.0,4.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1100°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,1100,1,0.6020599913279624
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1100,100,2.0,4.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1100°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,110000,1,0.6020599913279624
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1100,200,2.0,4.0,Parabolic,"[18] Lo et al., Sci. Reports 9(1) (2019) 7266 > Table 1/Fig. 3 (AlSiTiCrNbMoTa at 1100°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,220000,1,0.6020599913279624
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1200,1,1.8,8.0,Parabolic,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1200°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,1200,1,0.9030899869919435
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1200,100,1.8,8.0,Parabolic,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1200°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,120000,1,0.9030899869919435
17.6,2.9,5.4,0.0,25.2,0.0,15.2,20.3,0.0,13.4,0.0,2041.10932,0.0630729087496409,1200,200,1.8,8.0,Parabolic,"[4] Lo et al., Intermetallics 119 (2020) 106711 > Table/Fig. (AlSiTiCrNbMoTa at 1200°C, Parabolic kinetics)",45.699999999999996,0.0,443.52000000000004,240000,1,0.9030899869919435
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1000,1,2.0,12.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,1000,1,1.0791812460476249
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1000,25,2.0,12.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,25000,1,1.0791812460476249
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1000,50,2.0,12.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,50000,1,1.0791812460476249
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1200,1,1.8,28.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,1200,1,1.4471580313422192
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1200,25,1.8,28.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,30000,1,1.4471580313422192
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1200,50,1.8,28.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,60000,1,1.4471580313422192
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1300,1,1.6,55.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,1300,1,1.7403626894942439
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1300,12,1.6,55.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,15600,1,1.7403626894942439
25.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1857.08,0.0590760227414594,1300,24,1.6,55.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (AlMoNbTi oxidation data)",25.0,0.0,0.0,31200,1,1.7403626894942439
0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1976.75,0.0422325817721237,1000,8,1.5,7.95,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (CrNbTiZr oxidation data)",25.0,25.0,0.0,8000,1,0.9003671286564703
0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1976.75,0.0422325817721237,1000,16,1.5,7.95,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (CrNbTiZr oxidation data)",25.0,25.0,0.0,16000,1,0.9003671286564703
0.0,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1976.75,0.0422325817721237,1000,24,1.5,7.95,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (CrNbTiZr oxidation data)",25.0,25.0,0.0,24000,1,0.9003671286564703
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1000,1,1.5,6.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,1000,1,0.7781512503836436
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1000,24,1.5,6.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,24000,1,0.7781512503836436
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1000,48,1.5,6.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,48000,1,0.7781512503836436
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1200,1,1.5,18.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,1200,1,1.255272505103306
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1200,24,1.5,18.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,28800,1,1.255272505103306
0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,25.0,2884.75,0.0303868562731381,1200,48,1.5,18.0,Parabolic,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (NbMoTaW oxidation data)",0.0,0.0,0.0,57600,1,1.255272505103306
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1000,1,2.0,10.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,1000,1,1.0
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1000,25,2.0,10.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,25000,1,1.0
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1000,50,2.0,10.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,50000,1,1.0
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1200,1,1.8,22.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,1200,1,1.3424226808222062
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1200,25,1.8,22.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,30000,1,1.3424226808222062
0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,2181.6000000000004,0.0377739694831149,1200,50,1.8,22.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiCrNbMoHf oxidation data)",20.0,0.0,0.0,60000,1,1.3424226808222062
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,800,1,1.8,15.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,800,1,1.1760912590556813
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,800,24,1.8,15.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,19200,1,1.1760912590556813
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,800,48,1.8,15.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,38400,1,1.1760912590556813
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,1000,1,1.5,35.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,1000,1,1.5440680443502757
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,1000,24,1.5,35.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,24000,1,1.5440680443502757
0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,2493.0,0.0293567933486251,1000,48,1.5,35.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (ZrNbMoTa oxidation data)",0.0,25.0,0.0,48000,1,1.5440680443502757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.34,2890.7198,0.0563119047002757,1000,1,1.5,5.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (HfTaW ternary oxidation data)",0.0,0.0,0.0,1000,1,0.6989700043360189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.34,2890.7198,0.0563119047002757,1000,24,1.5,5.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (HfTaW ternary oxidation data)",0.0,0.0,0.0,24000,1,0.6989700043360189
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.34,2890.7198,0.0563119047002757,1000,48,1.5,5.0,Parabolic,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (HfTaW ternary oxidation data)",0.0,0.0,0.0,48000,1,0.6989700043360189
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1000,1,1.6,8.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,1000,1,0.9030899869919435
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1000,24,1.6,8.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,24000,1,0.9030899869919435
0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,2486.5,0.0514441720269531,1000,48,1.6,8.0,Parabolic,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiMoHfW oxidation data)",0.0,0.0,0.0,48000,1,0.9030899869919435
0.0,0.0,22.5,0.0,10.0,0.0,22.5,22.5,0.0,22.5,0.0,2392.3250000000003,0.0163339093244943,1000,1,1.5,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr10MoNbTaTi variant)",10.0,0.0,0.0,1000,1,1.3424226808222062
0.0,0.0,22.5,0.0,10.0,0.0,22.5,22.5,0.0,22.5,0.0,2392.3250000000003,0.0163339093244943,1000,25,1.5,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr10MoNbTaTi variant)",10.0,0.0,0.0,25000,1,1.3424226808222062
0.0,0.0,22.5,0.0,10.0,0.0,22.5,22.5,0.0,22.5,0.0,2392.3250000000003,0.0163339093244943,1000,50,1.5,22.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr10MoNbTaTi variant)",10.0,0.0,0.0,50000,1,1.3424226808222062
0.0,0.0,21.25,0.0,15.0,0.0,21.25,21.25,0.0,21.25,0.0,2365.3625,0.0167864552798161,1000,1,1.8,15.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr15MoNbTaTi variant)",15.0,0.0,0.0,1000,1,1.1760912590556813
0.0,0.0,21.25,0.0,15.0,0.0,21.25,21.25,0.0,21.25,0.0,2365.3625,0.0167864552798161,1000,25,1.8,15.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr15MoNbTaTi variant)",15.0,0.0,0.0,25000,1,1.1760912590556813
0.0,0.0,21.25,0.0,15.0,0.0,21.25,21.25,0.0,21.25,0.0,2365.3625,0.0167864552798161,1000,50,1.8,15.0,Parabolic,"[8] Schellert et al., Corros. Sci. 192 (2021) 109861 > Fig./Table (Cr15MoNbTaTi variant)",15.0,0.0,0.0,50000,1,1.1760912590556813
